13,20,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0
0,11,14,14,14,14,14,14,12,0,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
4,25,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
14,35,0,0,0,0,0,0,83,56,62,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,93,66,72,0,0,0,0,0,0,0,0,0
64,65,0,0,0,0,0,0,3,5,13,0,0,0,0,0,0,0,0,0
74,21,4,4,4,4,4,4,22,15,13,0,0,0,0,0,0,0,0,0
0,31,14,14,14,14,14,14,32,15,13,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,
